code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,"7-1/2"" warm drive Circular saw",Skillsaw,,Saws,,2,,,,,
,Headlamps for Employees,Cosoos,,,,6,,,,,
,Harnes M-L,Guardian,6,,,6,,,,,
,"Magnetic Level 72""",,,Survey & Layout,,1,,,,,
,"Magnetic Level 48""",,,Survey & Layout,,1,,,,,
,"Wrench pipe 36""",,,Hand Tools,,2,,,,,
,Blue Straps 10',,,,,3,,,,,
,Lever Hoist 1-1/2Ton,,,,,2,,,,,
,"48"" Shovel Square",,,Hand Tools,,2,,,,,
,Gas blower,Stihl,BG50,Blowers & Yard,,1,,,,,
,"Pry Bar 60""",Kraft,,Hand Tools,,2,,,,,
,"16""x3-1/4"" Magnesium Float",Kraft,,,,2,,,,,
,Gas can 5 gal,Eagle,,,,2,,,,,
,Gas can 2 gal,Eagle,,,,2,,,,,
,Form Release Red Can,Chapin,,,,1,,,,,
,Form Release Red Can,Chapin,,,,1,,,,,
,Hammer Drill,Bosch,RH450M,Drills & Drivers,225001099,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Saws,,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Saws,,1,,,,,
,GENERATOR,HONDA,EB6500X,Generators & Power,EBCL-1513008,1,,,,,
,GENERATOR,WACKER NEWSON,GP6600,Generators & Power,24478932,1,,,,,
,PLATE COMPACTOR,BOOMAG,MVP18/45,Compaction,101630112483,1,,,,,
,BACK PACK VIBRATOR,Wacker Newson,BV50A-h,Compaction,24610819,1,,,,,
,"4-1/2"" Angle Grinder",corded,,Grinders,,1,,,,,
,Air Compressor,Porter Cable,,Generators & Power,229000664,1,,,,,
,"7-1/2"" Warm Drive Circular saw",Skillsaw,,Saws,324000316,1,,,,,
,Drill Driver,Milwaukee,,Drills & Drivers,J76A213500992,1,,,,,
,Drill Driver,Dewalt,,Drills & Drivers,,1,,,,,
,"7"" Angle Grinder",Bosch,,Grinders,,1,,,,,
,"7-1/2"" Warm Drive Circular saw",Dewalt,,Saws,,1,,,,,
,SDS Max Drill,Wacker Neuson,,Drills & Drivers,684A022100534,1,,,,,
,Hammer Drill,Dewalt,,Drills & Drivers,,1,,,,,
,SDS Max Drill,Bosch,,Drills & Drivers,3611B69010,1,,,,,
,SDS Plus Drill,Metabo,,Drills & Drivers,,1,,,,,
,Water Pump,Wacker Neuson,,,,1,,,,,
,pick,,,,,3,,,,,
,Shovel,,,Hand Tools,,6,,,,,
