code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,SDS Max Hammer,Bosch,,Power Tools,3611 B64012,1,,,,,
,"Skillsaw 7-1/4""",Skillsaw,,Power Tools,325000128,1,,,,,
,Extension Cord 100',Yellow Jacket,,,,2,,,,,
,"14"" cutquick saw",Stihl,,Power Tools,,1,,,,,
,"4-1/2""/5"" Grinder Paddle Switch",Bosch,,Power Tools,,1,,,,,
,Air Compressor,,,,,1,,,,,
,Nail Gun,Makita,,,,1,,,,,
,Sawzall Reciprocating Saw,Milwaukee,,Power Tools,,1,,,,,
,Headlamps for Employees,Cosoos,,,,7,,,,,
,Harness M-L,Guardian,,,,7,,,,,
,"48"" Shovel Square",Union Tools,,,,1,,,,,
,"48"" Shovel Point",Union Tools,,,,1,,,,,
,"Wrench pipe 48""",Ridgid,,,,1,,,,,
,Sledge Hammer 16lbs,True Temper,,Power Tools,,1,,,,,
,Backpack Concrete Vibrator,Wacker Newuson,BV50A-H,,,1,,,,,
,Gas blower,Stihl,BG50,,,1,,,,,
,"Pry Bar 60""",Kraft,,,,2,,,,,
,"48"" Finish broom w/bracket",Marshalltown,,,,1,,,,,
,Gas can 5 gal,Eagle,,,,4,,,,,
,Diesel can 5 gal,Eagle,,,,3,,,,,
,Form Release Red Can,Chapin,,,,1,,,,,
,"Magnetic Level 72""",Milwaukee,,,,1,,,,,
,"Magnetic Level 48""",Milwaukee,,,,1,,,,,
,"7 1/4"" Skill Saw",,,Power Tools,,1,,,,,
,Quikie Saw,,,Power Tools,,1,,,,,
,Skill Saw,,,Power Tools,32000875,1,,,,,
,Fire Extinguisher,,5 LB,,,4,,,,,
,Electric Rebar Bender,VEVOR,NRB-25,,23092859864,1,,,,,
,"Heaby Dutty Chain 1/2""",,,,,1,,,,,
,"Heaby Dutty Chain 3/8""",,,,,1,,,,,
,Chain Tensioner,,,,,2,,,,,
,100' Heavy Duty Extension cords,,,,,2,,,,,
,"4-1/2"" Angel Grinder",,,Power Tools,,1,,,,,
,Battery Chargers,Dewalt,,,,1,,,,,
,Warm Drive Circular Saw,Skilsaw,,Power Tools,,1,,,,,
,"7"" Angel Grinder",Dewalt,,Power Tools,,1,,,,,
,Hammer Drill,Bosch,,Power Tools,,1,,,,,
,Water pump,,,,,1,,,,,
,Reciprocator Saw,Dewalt,,Power Tools,,1,,,,,
,"Wrench 1/2"" drive with battery",Wacker Newson,,,,1,,,,,
,Electric Vibrator,Wacker Newson,,,,1,,,,,
,3M Harnesses,,,,,3,,,,,
,Safty Can Red,Justrite,,,,2,,,,,
,Concrete Vibrator Nozzle,,,,,1,,,,,
,Hammer,Bosch,,Power Tools,,1,,,,,
,Pick,,,,,1,,,,,
,Shovel,,,,,3,,,,,
,Hand Blower,Stihl,,,,1,,,,,
